country,pollutant_name,year_num,annual_mean,n_days
ITALY,PM2.5,2024,12.2579920391746737861529,144767
ITALY,PM2.5,2025,11.3241224829421724144881,49613
POLAND,PM10,2013,30.0287066851423182441701,46656
POLAND,PM10,2014,31.2110756642824083813691,47534
POLAND,PM10,2015,29.5001869203737953859632,51365
POLAND,PM10,2016,28.5710206039603960396040,50803
POLAND,PM10,2017,26.5482667225234373583332,55147
POLAND,PM10,2018,29.5276130070557819709510,55699
POLAND,PM10,2019,25.1899223765468567870088,62627
POLAND,PM10,2020,23.1721531846617085691720,60776
POLAND,PM10,2021,24.8706785015731940705180,61658
POLAND,PM10,2022,23.3628605672341595123765,61851
POLAND,PM10,2023,20.5757698768544046212420,60936
POLAND,PM10,2024,21.3585917236994026204381,59761
POLAND,PM10,2025,28.2432885906040268456376,298
POLAND,PM2.5,2013,21.2656923816209317166560,20371
POLAND,PM2.5,2014,22.0541626148502994011976,20875
POLAND,PM2.5,2015,20.3788451653373369616215,21314
POLAND,PM2.5,2016,19.7679366965700483091787,20700
POLAND,PM2.5,2017,18.6208656844712182061580,22410
POLAND,PM2.5,2018,20.6640861256247485359202,22369
POLAND,PM2.5,2019,17.4324721966953073364177,22695
POLAND,PM2.5,2020,16.0714381920140675930691,23316
POLAND,PM2.5,2021,17.4659570933960876599500,20397
POLAND,PM2.5,2022,15.6940715433051018350474,19836
POLAND,PM2.5,2023,13.8863249527666736797812,19012
POLAND,PM2.5,2024,14.3671021254536029030586,19290
SPAIN,PM10,2013,18.1856370978972287982175,35905
SPAIN,PM10,2014,19.6075449732516561798376,36077
SPAIN,PM10,2015,21.8053482627141399495194,37242
SPAIN,PM10,2016,19.1209549951737451737452,33152
SPAIN,PM10,2017,20.4321109123434704830054,33540
SPAIN,PM10,2018,18.7481687416898344010637,33092
SPAIN,PM10,2019,19.3189125716154548220262,32870
SPAIN,PM10,2020,17.6053118844515770631443,32402
SPAIN,PM10,2021,17.8190385859794050999627,34863
SPAIN,PM10,2022,20.1581128697106814753874,36465
SPAIN,PM10,2023,17.8994726315608490418581,31989
SPAIN,PM10,2024,17.3878624424387548351446,27145
SPAIN,PM2.5,2013,11.1049371613696028598559,17903
SPAIN,PM2.5,2014,10.9767069751881795372177,17935
SPAIN,PM2.5,2015,12.4888265000835049824640,17963
SPAIN,PM2.5,2016,10.6312901078594867932648,18589
SPAIN,PM2.5,2017,11.5026138771716101694915,18880
SPAIN,PM2.5,2018,10.9286989075002558068147,19546
SPAIN,PM2.5,2019,10.9838691583961474036851,19104
SPAIN,PM2.5,2020,9.8585014890569681364660,18642
SPAIN,PM2.5,2021,9.7506599704926575082899,21110
SPAIN,PM2.5,2022,10.7412878727024567788899,21980
SPAIN,PM2.5,2023,10.0448590016803495126986,20829
SPAIN,PM2.5,2024,8.9874978247358607830951,19308
SWEDEN,PM10,2012,4.0000000000000000000000,1
SWEDEN,PM10,2013,13.3686223474111675126904,4925
SWEDEN,PM10,2014,15.1937830812304734438837,4161
SWEDEN,PM10,2015,13.4688114996780424983902,3106
SWEDEN,PM10,2016,12.7986844713332192366935,5843
SWEDEN,PM10,2017,12.9690007616016083095996,5969
SWEDEN,PM10,2018,15.6731438058209286825150,4501
SWEDEN,PM10,2019,14.4232814540077503569243,4903
SWEDEN,PM10,2020,15.0855053940319548872180,4256
SWEDEN,PM10,2021,15.0587371848676220548943,4117
SWEDEN,PM10,2022,14.0281760947442847042187,4243
SWEDEN,PM10,2023,14.6713929024081115335868,3945
SWEDEN,PM10,2024,14.2001050436002039775625,7844
SWEDEN,PM10,2025,13.6997055509259259259259,2160
SWEDEN,PM2.5,2013,6.3032694095238095238095,315
SWEDEN,PM2.5,2014,6.4835534494505494505495,910
SWEDEN,PM2.5,2015,5.2936168948255114320096,1662
SWEDEN,PM2.5,2016,4.3944048280950395998333,2399
SWEDEN,PM2.5,2017,3.3470233764453961456103,2335
SWEDEN,PM2.5,2018,3.9795302705851619644723,1914
SWEDEN,PM2.5,2019,3.8000464811156304474143,1721
SWEDEN,PM2.5,2020,3.6738610478359908883827,1756
SWEDEN,PM2.5,2021,3.9548834359662576687117,1304
SWEDEN,PM2.5,2022,3.8802761148283418553689,1369
SWEDEN,PM2.5,2023,3.6802142862351190476190,1344
SWEDEN,PM2.5,2024,3.7894223948339768339768,2590
UK,PM10,2013,17.2784350479511769834350,2294
UK,PM10,2014,15.5004790905399918798214,2463
UK,PM10,2015,15.1387742718446601941748,2472
UK,PM10,2016,14.6523010962839447355884,2099
UK,PM10,2017,16.6840502512562814070352,1393
UK,PM10,2018,19.1058179356884057971014,1104
UK,PM10,2019,22.7835190082644628099174,605
UK,PM2.5,2013,8.7817330562128418549346,3364
UK,PM2.5,2014,8.2510534081735025081145,3389
UK,PM2.5,2015,7.3094402114009378663540,3412
UK,PM2.5,2016,7.4092953961317135549872,3128
UK,PM2.5,2017,7.7088809875665215287857,2067
UK,PM2.5,2018,8.3393697711357813834330,1171
UK,PM2.5,2019,10.7184595787234042553191,470
