country,mean_ratio,std_ratio,n_obs
POLAND,0.6802240876,0.08291846310017793,4383
SWEDEN,0.3234536918,0.15546093951798817,4316
UK,0.5016632202,0.17945245169297958,2534
CZECH,0.7322790471,0.12225763346241866,4370
SPAIN,0.5719727321,0.08587131406339299,4383
ITALY,0.6093234916,0.09465365061609467,4693
GERMANY,0.6093163211,0.10093833926589683,4628
