country,pollutant_name,winter_avg,summer_avg,winter_summer_ratio
CZECH,PM2.5,16.1781362313879856238234,9.6739041953663118346900,1.672348
ITALY,PM2.5,19.2484799544857074986143,10.9593342126891821137711,1.756355
POLAND,PM10,31.5054025040269725233174,18.9159945139034536801226,1.665543
POLAND,PM2.5,24.3337974880875615136603,11.7516229258405556579999,2.070675
SPAIN,PM10,18.8206520080885049508985,20.6363135613567260668917,0.912016
SWEDEN,PM10,12.1791766674610990742565,12.8793590117506472814180,0.945635
SWEDEN,PM2.5,4.1276020987132747158482,4.0994248058834989285019,1.006873
BELGIUM,PM2.5,13.7239313912333242580996,8.9490122797650827549386,1.533569
CZECH,PM10,20.0079020527365139984836,14.9263663601611736749664,1.340440
GERMANY,PM2.5,11.2650542555222668663988,8.6698515998697179854979,1.299336
ITALY,PM10,28.4708008111135970260808,19.6377997693433135133055,1.449796
GERMANY,PM10,17.4156682457208516575587,15.0594531727840477624447,1.156461
SPAIN,PM2.5,11.4183430926087978448354,11.2065492984861325755687,1.018899
UK,PM10,17.3467296229290921139828,15.0057990415335463258786,1.156002
UK,PM2.5,8.8438286262087123025371,6.3037749829909993076390,1.402942
