country,pollutant_name,extreme_days,avg_extreme_value,max_value
CZECH,PM2.5,9,50.1333333333333333333333,50.200000000000000000
ITALY,PM2.5,55,50.0865808064516129032258,50.160000000000000000
POLAND,PM2.5,1236,56.9737621776357827476038,66.300000000000000000
