country,pollutant_name,month_num,avg_concentration,n_measurements
GERMANY,PM10,2,18.9875389115873693193941,46870
GERMANY,PM10,3,20.6524963096838099721470,50982
GERMANY,PM10,4,17.8929978025927458281616,50757
GERMANY,PM10,5,14.5996011210838915349437,52699
GERMANY,PM10,6,15.1068712517669833869980,50623
GERMANY,PM10,7,15.0296909441652718850959,51382
GERMANY,PM10,8,15.0422869577052668912928,50751
GERMANY,PM10,9,15.7027715085007444269952,49031
GERMANY,PM10,10,16.6684720447449829459824,50428
GERMANY,PM10,11,16.8305609782857844541771,48862
GERMANY,PM10,12,16.0077304104481602599700,48621
GERMANY,PM2.5,1,11.2212413753549119818285,24654
GERMANY,PM2.5,2,11.8432045375734027992406,22649
GERMANY,PM2.5,3,12.9621155038891570141570,24864
GERMANY,PM2.5,4,10.6227254527074668251139,25245
GERMANY,PM2.5,5,8.7360038693769517861223,26258
GERMANY,PM2.5,6,8.9394125427003380393716,25145
GERMANY,PM2.5,7,8.4569534253019607843137,25500
GERMANY,PM2.5,8,8.6166158653369633838384,25344
GERMANY,PM2.5,9,8.9798848496458231558378,24564
GERMANY,PM2.5,10,9.6530920713574840764331,25120
GERMANY,PM2.5,11,11.0908583855200600550505,23978
GERMANY,PM2.5,12,10.7670702138025366824173,24126
ITALY,PM10,1,29.0137514718747791675500,141510
ITALY,PM10,2,27.5976603980838709182539,130367
ITALY,PM10,3,23.8575456163660538014209,148918
ITALY,PM10,4,19.0954228601744046434722,145753
ITALY,PM10,5,16.2125028564874385218663,150460
ITALY,PM10,6,19.7870204369755183647218,143046
ITALY,PM10,7,20.0172945545110545070432,149577
ITALY,PM10,8,19.1142311295034386604641,149186
ITALY,PM10,9,18.7443963974716387424439,144916
ITALY,PM10,10,22.5602112872539515846730,148548
ITALY,PM10,11,24.3638759919773534010656,134943
ITALY,PM10,12,28.7451299120347918937557,134859
ITALY,PM2.5,1,19.7364198544468953188299,69363
ITALY,PM2.5,2,18.3817259565475918217994,65589
ITALY,PM2.5,3,15.3978767814842431615714,76443
ITALY,PM2.5,4,10.9986315758797048560241,75082
ITALY,PM2.5,5,8.6377698860012449101330,77114
ITALY,PM2.5,6,10.7743449365099413298566,73632
ITALY,PM2.5,7,11.1910766729852338515579,76865
ITALY,PM2.5,8,10.9047427115036986872265,76784
ITALY,PM2.5,9,10.1133984888375776939496,74491
ITALY,PM2.5,10,13.0475253042717709859745,76432
ITALY,PM2.5,11,15.8420691562488204979313,68885
ITALY,PM2.5,12,19.5912584842531886994874,67112
POLAND,PM10,1,31.7707745830264574245085,52953
POLAND,PM10,2,33.5362019898517719445443,50058
POLAND,PM10,3,34.2406837844661225501478,56483
POLAND,PM10,4,26.2112839724098012733938,57013
POLAND,PM10,5,19.8915273727413613992064,58719
POLAND,PM10,6,18.8173005479043501279449,56665
POLAND,PM10,7,18.2205154733707557502738,58432
POLAND,PM10,8,19.7068446238944865456660,58457
POLAND,PM10,9,21.6495298202944953644248,56843
POLAND,PM10,10,28.1861430140018921475875,58135
