country,pollutant_name,date,avg_concentration,avg_aqi,rank
POLAND,PM2.5,2017-02-01,176.89886608969232,5.4,10
SPAIN,PM10,2022-03-11,742.143,6.0,1
SPAIN,PM10,2022-03-15,576.3845384615386,5.769230769230769,2
SPAIN,PM10,2015-10-01,573.927,6.0,3
SPAIN,PM10,2015-01-23,525.027,6.0,4
SPAIN,PM10,2015-01-22,435.6378,6.0,5
SPAIN,PM10,2014-04-03,421.359,6.0,6
SPAIN,PM10,2024-03-21,411.579,6.0,7
SPAIN,PM10,2019-07-20,373.926,6.0,8
SPAIN,PM10,2013-05-03,372.8502,6.0,9
SPAIN,PM10,2021-07-15,368.54699999999997,6.0,10
SPAIN,PM2.5,2016-06-22,453.481,6.0,1
SPAIN,PM2.5,2022-03-15,318.8143678571428,5.321428571428571,2
SPAIN,PM2.5,2024-02-16,290.769,6.0,3
SPAIN,PM2.5,2022-03-14,267.04016666666666,6.0,4
SPAIN,PM2.5,2022-07-29,263.034,6.0,5
SPAIN,PM2.5,2024-04-25,251.16342000000003,6.0,6
SPAIN,PM2.5,2022-11-10,242.83367499999997,6.0,7
SPAIN,PM2.5,2017-12-11,214.96,6.0,8
SPAIN,PM2.5,2017-02-11,210.64566666666667,5.0,9
SPAIN,PM2.5,2022-09-02,206.049669,6.0,10
SWEDEN,PM10,2018-09-07,579.7950000000001,6.0,1
SWEDEN,PM10,2020-09-03,544.0002000000001,6.0,2
SWEDEN,PM10,2022-07-11,508.20539999999994,6.0,3
SWEDEN,PM10,2021-03-01,507.423,6.0,4
SWEDEN,PM10,2019-03-28,468.303,6.0,5
SWEDEN,PM10,2020-03-28,468.303,6.0,6
SWEDEN,PM10,2022-05-04,463.8026352,6.0,7
SWEDEN,PM10,2017-02-18,448.743,6.0,8
SWEDEN,PM10,2013-03-04,430.37616,6.0,9
SWEDEN,PM10,2020-03-20,429.183,6.0,10
SWEDEN,PM2.5,2015-11-01,89.41290000000001,4.0,1
SWEDEN,PM2.5,2017-05-31,86.4545,4.0,2
SWEDEN,PM2.5,2015-10-30,82.732463,4.0,3
SWEDEN,PM2.5,2014-03-01,81.0924,4.0,4
SWEDEN,PM2.5,2014-02-28,76.96912999999999,4.5,5
SWEDEN,PM2.5,2016-01-08,76.285,4.0,6
SWEDEN,PM2.5,2014-02-01,75.7303,4.0,7
SWEDEN,PM2.5,2015-02-19,75.589776,4.0,8
SWEDEN,PM2.5,2017-01-31,74.43599999999999,4.0,9
SWEDEN,PM2.5,2015-10-31,73.163888,4.0,10
UK,PM10,2015-12-05,326.41476,6.0,1
UK,PM10,2017-06-11,280.689348,6.0,2
UK,PM10,2014-01-06,254.53176000000002,5.0,3
UK,PM10,2014-01-03,249.79824,5.0,4
UK,PM10,2019-03-03,239.726796,5.0,5
UK,PM10,2017-10-16,226.4925,5.0,6
UK,PM10,2013-04-16,220.14527999999999,5.0,7
UK,PM10,2016-07-10,214.429848,5.0,8
UK,PM10,2013-06-14,213.29927999999998,5.0,9
UK,PM10,2014-01-07,210.03276,5.0,10
UK,PM2.5,2017-01-23,110.15868,5.0,1
UK,PM2.5,2016-03-12,103.09180199999999,4.666666666666667,2
UK,PM2.5,2014-03-14,102.78116999999999,4.666666666666667,3
UK,PM2.5,2017-01-22,100.95374166666666,4.5,4
UK,PM2.5,2014-04-03,100.36637599999999,5.0,5
UK,PM2.5,2013-01-24,98.8428,5.0,6
UK,PM2.5,2015-03-17,96.9794188888889,4.666666666666667,7
UK,PM2.5,2014-03-13,95.40101857142857,4.714285714285714,8
UK,PM2.5,2014-04-02,94.95989999999999,4.8,9
UK,PM2.5,2016-10-31,89.8446415,4.5,10
