country,pollutant_name,weekday_avg,weekend_avg,weekend_effect_pct
CZECH,PM2.5,13.3490704019351390881220,12.8434489000278473962684,-3.787700
ITALY,PM2.5,13.6132699009870441566078,13.3810736120159222776953,-1.705700
POLAND,PM10,26.2313424222221760331231,24.9634376932375242916128,-4.833500
POLAND,PM2.5,18.2648771805944298569438,18.0204212933771360737653,-1.338400
SPAIN,PM10,19.7150004194337934772849,17.2049660686088870519709,-12.731600
SWEDEN,PM10,14.6083155992024467709681,13.0521629547197893411186,-10.652500
SWEDEN,PM2.5,4.1403845882437173337152,4.0782659132554847841472,-1.500300
BELGIUM,PM2.5,11.6777304964539007092199,11.4148664343786295005807,-2.251000
CZECH,PM10,18.0625584079527896196735,16.9168064508675862387653,-6.343200
GERMANY,PM2.5,10.1758617457720735636087,10.0066232759351591760300,-1.663100
ITALY,PM10,22.5889853940780562071197,21.5526460775418534055312,-4.587800
GERMANY,PM10,17.1112033157350790055081,15.4580517518970667252128,-9.661200
SPAIN,PM2.5,10.8377835974336235136554,10.1509198255656519763744,-6.337700
UK,PM10,16.9692712669796380090498,15.0701994434540389972145,-11.191200
UK,PM2.5,8.1605167928601044862758,7.6791418458114123836503,-5.898800
