country,mean,median,p95
POLAND,18.1947627588934418116674,14.518340000000000000,44.800000000000000000
ITALY,13.5466169493570344683023,11.000000000000000000,34.000000000000000000
CZECH,13.2035739327283290261835,10.800000000000000000,33.000000000000000000
BELGIUM,11.6016801075268817204301,9.000000000000000000,27.000000000000000000
SPAIN,10.6421159218474560915315,9.400000000000000000,23.000000000000000000
