country,mean,median,p95
POLAND,25.8670027599905793269551,21.600000000000000000,58.760000000000000000
ITALY,22.2910245183579420968676,19.000000000000000000,50.000000000000000000
SPAIN,19.0697956622663326267103,17.900000000000000000,38.530000000000000000
CZECH,17.7335314998507116080019,15.000000000000000000,40.000000000000000000
GERMANY,16.6356822593640938370416,14.700000000000000000,35.624200000000000000
