country,pollutant_name,season_4,aqi_category,days,total_days,percentage,aqi_numeric_order
UK,PM2.5,Summer,Moderate,1098,4339,25.30536990089882,3
UK,PM2.5,Summer,Good,418,4339,9.63355611892141,1
UK,PM2.5,Summer,Fair,2811,4339,64.7845125604978,2
UK,PM2.5,Summer,Poor,12,4339,0.27656141968195436,4
UK,PM2.5,Winter,Moderate,1683,4314,39.0125173852573,3
UK,PM2.5,Winter,Very Poor,11,4314,0.25498377375985165,5
UK,PM2.5,Winter,Good,347,4314,8.043579044969865,1
UK,PM2.5,Winter,Extremely Poor,2,4314,0.04636068613815484,6
UK,PM2.5,Winter,Fair,2062,4314,47.79786740843765,2
UK,PM2.5,Winter,Poor,209,4314,4.844691701437181,4
