country,pollutant_name,season_4,avg_aqi,std_aqi
BELGIUM,PM2.5,Autumn,2.656384120171674,0.5843932267781138
BELGIUM,PM2.5,Spring,2.8366440146366965,0.6069106402654622
BELGIUM,PM2.5,Summer,2.5225153210764724,0.5311078495053957
BELGIUM,PM2.5,Winter,2.892509855453351,0.6691010752622053
CZECH,PM10,Autumn,2.102530029443185,0.664526370939647
CZECH,PM10,Spring,2.1166705453417114,0.639262836416308
CZECH,PM10,Summer,1.9702078223828579,0.4533718423594037
CZECH,PM10,Winter,2.2023604688676204,0.8403046572206521
CZECH,PM2.5,Autumn,2.7409403311465166,0.7343194874276119
CZECH,PM2.5,Spring,2.8496949100177646,0.6876403439408288
CZECH,PM2.5,Summer,2.61482467125861,0.5363902110350423
CZECH,PM2.5,Winter,2.9999201214154487,1.0219276635625185
GERMANY,PM10,Autumn,2.017881761141635,0.6111725941873568
GERMANY,PM10,Spring,2.0989613515802614,0.6504258721575422
GERMANY,PM10,Summer,1.981790701022024,0.4583674521445709
GERMANY,PM10,Winter,2.0656553875274093,0.7457523401029654
GERMANY,PM2.5,Autumn,2.523461517717491,0.6357830783305929
GERMANY,PM2.5,Spring,2.6387957297560227,0.6598257164521926
GERMANY,PM2.5,Summer,2.5026840692595127,0.5291951722747928
GERMANY,PM2.5,Winter,2.632573272457054,0.8077122346125046
ITALY,PM10,Autumn,2.2955734638742005,0.6647629290691472
ITALY,PM10,Spring,2.2019929873897603,0.6552917815316963
ITALY,PM10,Summer,2.212303253596294,0.5484419244541675
ITALY,PM10,Winter,2.5955428880890024,0.8058963319987443
ITALY,PM2.5,Autumn,2.773281022306916,0.7113999192385192
ITALY,PM2.5,Spring,2.696362664162656,0.6439271744366267
ITALY,PM2.5,Summer,2.7197727292716607,0.5104070041236465
ITALY,PM2.5,Winter,3.243159780967454,0.9155903473643665
POLAND,PM10,Autumn,2.5195168791503737,0.6813501548754398
POLAND,PM10,Spring,2.5232153055396918,0.6779343831510746
POLAND,PM10,Summer,2.1939962325235753,0.4658446628647342
POLAND,PM10,Winter,2.758682064654994,0.9024051017726228
POLAND,PM2.5,Autumn,3.1115665408649384,0.7316270869208393
POLAND,PM2.5,Spring,3.135900477537488,0.6936118071530932
POLAND,PM2.5,Summer,2.7874517878820475,0.44325892356867536
POLAND,PM2.5,Winter,3.5191261128063167,0.9945289937068024
SPAIN,PM10,Autumn,2.1345508180177384,0.6469205435020725
SPAIN,PM10,Spring,2.114680460083033,0.6344688672758123
SPAIN,PM10,Summer,2.27160651110828,0.5594894767242821
SPAIN,PM10,Winter,2.111759556463379,0.7573649877848866
SPAIN,PM2.5,Autumn,2.578403884291869,0.6129767839258466
SPAIN,PM2.5,Spring,2.5814037254296593,0.6178141102860487
SPAIN,PM2.5,Summer,2.731921376409611,0.5113968256637111
SPAIN,PM2.5,Winter,2.6306237309870695,0.7259242321770849
SWEDEN,PM10,Autumn,1.7532619145721742,0.6499179822342732
SWEDEN,PM10,Spring,2.288706958824946,0.8477275208699616
SWEDEN,PM10,Summer,1.8254860468192038,0.5459179718168663
SWEDEN,PM10,Winter,1.7416033972461717,0.7215098688086512
SWEDEN,PM2.5,Autumn,1.7007952286282306,0.6798957757443586
SWEDEN,PM2.5,Spring,1.904444879577051,0.6996402608212337
SWEDEN,PM2.5,Summer,1.8264253745864953,0.5540416337997419
SWEDEN,PM2.5,Winter,1.8156101589923601,0.7110881806476543
UK,PM10,Autumn,1.9395441030723488,0.6864606415856715
UK,PM10,Spring,2.0733252866626435,0.7228707307478018
UK,PM10,Summer,1.8931854199683043,0.7048620633754944
UK,PM10,Winter,2.029142108709889,0.7506752833570427
UK,PM2.5,Autumn,2.363898916967509,0.6549292444601845
UK,PM2.5,Spring,2.472487001733102,0.7292831561365636
UK,PM2.5,Summer,2.162249366213413,0.5781036960608416
UK,PM2.5,Winter,2.41608715808994,0.7222930791534918
