country,rmse,mae,count
POLAND,4.460129507157363,2.816087537016242,624
SWEDEN,1.5984478755170792,1.1673859921815926,623
BELGIUM,2.74345977408225,2.1184830974418585,258
CZECH,3.5738209732591937,2.5104622542387163,622
SPAIN,1.7858273516236025,1.3131281386911624,624
ITALY,2.3206664955021696,1.6098970435996018,934
GERMANY,3.0321940328793935,2.0307280244019537,869
