country,rmse,mae,count
POLAND,4.518113162813096,2.8901880265918343,624
SWEDEN,1.582592543288724,1.162570701588584,623
CZECH,3.582124148322687,2.4986678997921747,622
ITALY,2.301683482920713,1.6040716558383936,934
BELGIUM,2.7572783951851685,2.13806797265173,258
SPAIN,1.7952865566278717,1.3163723808074639,624
GERMANY,3.009315589401695,2.021915648793314,869
